param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,param_alpha,mean_test_score,rank_test_score,mean_train_score
"(13,)",identity,50,800,1,-0.14884452035277246,667,-0.14979106807348908
"(15,)",identity,50,200,1,-0.14992301210500153,812,-0.14940239214374232
"(15,)",identity,50,400,1,-0.15157577956002838,993,-0.14963707018058406
"(15,)",identity,50,800,1,-0.15157577956002838,993,-0.14963707018058406
"(17,)",identity,50,200,1,-0.1490492722395908,687,-0.14976532365482875
"(17,)",identity,50,400,1,-0.14929680518544103,717,-0.14940185556626623
"(17,)",identity,50,800,1,-0.14929680518544103,717,-0.14940185556626623
"(19,)",identity,50,200,1,-0.1491710372762958,705,-0.14963684624804854
"(19,)",identity,50,400,1,-0.14957279593051478,752,-0.14947794094178085
"(19,)",identity,50,800,1,-0.14957279593051478,752,-0.14947794094178085
"(21,)",identity,50,200,1,-0.14957484760733852,755,-0.14995012166079358
"(21,)",identity,50,400,1,-0.14916502282738933,703,-0.14987171441981656
"(21,)",identity,50,800,1,-0.14916502282738933,703,-0.14987171441981656
"(1,)",identity,100,200,1,-0.15342171091658793,1012,-0.15150710675536086
"(1,)",identity,100,400,1,-0.14948971397067792,743,-0.1491680555084652
"(1,)",identity,100,800,1,-0.14948971397067792,743,-0.14919400872003133
"(3,)",identity,100,200,1,-0.1499885567076052,819,-0.1507268808921795
"(3,)",identity,100,400,1,-0.1500363381447415,835,-0.14932430858212697
"(3,)",identity,100,800,1,-0.15023958611457444,853,-0.14948187507871352
"(5,)",identity,100,200,1,-0.15086202061851556,928,-0.15010826378976908
"(5,)",identity,100,400,1,-0.1509538468377024,938,-0.1490361834568717
"(5,)",identity,100,800,1,-0.15106977812583847,970,-0.14919291868279422
"(7,)",identity,100,200,1,-0.15065158137035137,908,-0.14916774264604762
"(7,)",identity,100,400,1,-0.15032764403401339,863,-0.14882677686245635
"(7,)",identity,100,800,1,-0.15032764403401339,863,-0.14882677686245635
"(9,)",identity,100,200,1,-0.14834266790235298,637,-0.14822154696011697
"(9,)",identity,100,400,1,-0.15074867445026788,918,-0.14845768319233354
"(9,)",identity,100,800,1,-0.15074867445026788,918,-0.14845768319233354
"(11,)",identity,100,200,1,-0.1505311013635709,894,-0.14882355788409113
"(11,)",identity,100,400,1,-0.15147247250183826,987,-0.14880004020160761
"(11,)",identity,100,800,1,-0.15096368272382069,948,-0.1489326296883898
"(13,)",identity,100,200,1,-0.1510667557300826,969,-0.14953134527275028
"(13,)",identity,100,400,1,-0.1502107396835239,844,-0.14903880357595498
"(13,)",identity,100,800,1,-0.1502107396835239,844,-0.14903880357595498
"(15,)",identity,100,200,1,-0.1509312668484927,933,-0.14908890708287065
"(15,)",identity,100,400,1,-0.15096447979246463,949,-0.1492703675668321
"(15,)",identity,100,800,1,-0.15096447979246463,949,-0.1492703675668321
"(17,)",identity,100,200,1,-0.14980683852874727,798,-0.1491654050676769
"(17,)",identity,100,400,1,-0.1509511844647857,936,-0.1487736705628886
"(17,)",identity,100,800,1,-0.1509511844647857,936,-0.1487736705628886
"(19,)",identity,100,200,1,-0.150222338959992,850,-0.1486175223471756
"(19,)",identity,100,400,1,-0.15146106752507485,985,-0.14895495021777996
"(19,)",identity,100,800,1,-0.15146106752507485,985,-0.14895495021777996
"(21,)",identity,100,200,1,-0.150451091159215,886,-0.14872205905766028
"(21,)",identity,100,400,1,-0.1498125832656068,800,-0.14890524956903958
"(21,)",identity,100,800,1,-0.1498125832656068,800,-0.14890524956903958
"(1,)",identity,200,200,1,-0.16318376033242193,1046,-0.16339408231720456
"(1,)",identity,200,400,1,-0.1522759880542997,997,-0.15125088429957864
"(1,)",identity,200,800,1,-0.14885818382662608,672,-0.14895354092786087
"(3,)",identity,200,200,1,-0.1640794886039733,1048,-0.1617470726849671
"(3,)",identity,200,400,1,-0.15031243939179292,857,-0.15075350855209751
"(3,)",identity,200,800,1,-0.14999675892710984,820,-0.14903694482024332
"(5,)",identity,200,200,1,-0.15032929012950816,865,-0.15083391020701228
"(5,)",identity,200,400,1,-0.1509708472319043,954,-0.15003062901165412
"(5,)",identity,200,800,1,-0.15147318406046337,988,-0.1495081646866527
"(7,)",identity,200,200,1,-0.15022621947835846,852,-0.1492458637037502
"(7,)",identity,200,400,1,-0.15096611383761357,951,-0.14877344859139224
"(7,)",identity,200,800,1,-0.14970683022561243,786,-0.14824638176931806
"(9,)",identity,200,200,1,-0.1507351507595295,915,-0.14979451143667308
"(9,)",identity,200,400,1,-0.14749343726377195,574,-0.1475070737848978
"(9,)",identity,200,800,1,-0.1499801165858748,816,-0.14774455383443746
"(11,)",identity,200,200,1,-0.1482313601340394,629,-0.147582953877272
"(11,)",identity,200,400,1,-0.1494815350880235,736,-0.1483544036037907
"(11,)",identity,200,800,1,-0.14998449794787055,818,-0.14787738618000001
"(13,)",identity,200,200,1,-0.1496205885138148,774,-0.15047350485305516
"(13,)",identity,200,400,1,-0.1504249656970302,877,-0.14882665264106348
"(13,)",identity,200,800,1,-0.1504249656970302,877,-0.14882665264106348
"(15,)",identity,200,200,1,-0.15013527401300933,841,-0.1497939433350452
"(15,)",identity,200,400,1,-0.14948554142169238,739,-0.1492419965240847
"(15,)",identity,200,800,1,-0.14948554142169238,739,-0.1492419965240847
"(17,)",identity,200,200,1,-0.1501246440884085,838,-0.14935113432086802
"(17,)",identity,200,400,1,-0.15117042240123474,975,-0.1485613880812052
"(17,)",identity,200,800,1,-0.15117042240123474,975,-0.14848132849112503
"(19,)",identity,200,200,1,-0.15096949676712876,953,-0.14987498335690716
"(19,)",identity,200,400,1,-0.15095927357544747,943,-0.14853791995530802
"(19,)",identity,200,800,1,-0.15095927357544747,943,-0.14853791995530802
"(21,)",identity,200,200,1,-0.14939923092959845,730,-0.14835116393690934
"(21,)",identity,200,400,1,-0.1490946493490516,697,-0.14866637677245137
"(21,)",identity,200,800,1,-0.1490946493490516,697,-0.14866637677245137
"(1,)",logistic,50,200,0.0001,-0.1564151751713278,1027,-0.15657841975664474
"(1,)",logistic,50,400,0.0001,-0.14908378513163806,694,-0.14859187996209006
"(1,)",logistic,50,800,0.0001,-0.1477042548492586,596,-0.1459872122373184
"(3,)",logistic,50,200,0.0001,-0.15092253508108025,931,-0.1503166286829233
"(3,)",logistic,50,400,0.0001,-0.15066610286529009,912,-0.14787965852047535
"(3,)",logistic,50,800,0.0001,-0.14626750708313005,364,-0.14361456567387762
"(5,)",logistic,50,200,0.0001,-0.1505540929898969,900,-0.14937867271494662
"(5,)",logistic,50,400,0.0001,-0.14736971864244844,560,-0.14580053961511177
"(5,)",logistic,50,800,0.0001,-0.1464802402598338,392,-0.14510349862757893
"(7,)",logistic,50,200,0.0001,-0.14989445473467705,805,-0.14755974062882365
"(7,)",logistic,50,400,0.0001,-0.14723422853784432,545,-0.14523888253296682
"(7,)",logistic,50,800,0.0001,-0.14570764688684826,271,-0.1450199692001275
"(9,)",logistic,50,200,0.0001,-0.14650634730138629,401,-0.14590692561273969
"(9,)",logistic,50,400,0.0001,-0.146058282350916,316,-0.14601547761120953
"(9,)",logistic,50,800,0.0001,-0.14708304785925627,523,-0.14569393760815355
"(11,)",logistic,50,200,0.0001,-0.14640579785019708,384,-0.14579898832877305
"(11,)",logistic,50,400,0.0001,-0.145948662122189,295,-0.14518217931943816
"(11,)",logistic,50,800,0.0001,-0.1461552592780832,338,-0.1452081962505778
"(13,)",logistic,50,200,0.0001,-0.14714138647710667,530,-0.14598894203405594
"(13,)",logistic,50,400,0.0001,-0.14700699582541485,505,-0.14526361252357162
"(13,)",logistic,50,800,0.0001,-0.14610890467623203,330,-0.14496620192073187
"(15,)",logistic,50,200,0.0001,-0.14713224308314016,529,-0.14617842282466512
"(15,)",logistic,50,400,0.0001,-0.14735481448269,555,-0.1456929174904565
"(15,)",logistic,50,800,0.0001,-0.14566765743509702,266,-0.1445061187770809
"(17,)",logistic,50,200,0.0001,-0.14725308249945443,549,-0.1462838859209758
"(17,)",logistic,50,400,0.0001,-0.14779277988987402,604,-0.14569447528823404
"(17,)",logistic,50,800,0.0001,-0.14616482790403817,341,-0.145237195470533
"(19,)",logistic,50,200,0.0001,-0.14756251510266,583,-0.14695000191896973
"(19,)",logistic,50,400,0.0001,-0.14746427322296313,568,-0.1457199342889546
"(19,)",logistic,50,800,0.0001,-0.14600280837825458,307,-0.14518379750960367
"(21,)",logistic,50,200,0.0001,-0.1470158842294679,507,-0.14641850590749503
"(21,)",logistic,50,400,0.0001,-0.1475426840238125,579,-0.1455326373332883
"(21,)",logistic,50,800,0.0001,-0.14679661317298726,472,-0.1456936612808624
"(1,)",logistic,100,200,0.0001,-0.2068339385000259,1103,-0.20611922885901532
"(1,)",logistic,100,400,0.0001,-0.15380874119398408,1016,-0.15307321794358494
"(1,)",logistic,100,800,0.0001,-0.15021570673179752,848,-0.14835468446347316
"(3,)",logistic,100,200,0.0001,-0.16027878539738105,1039,-0.160381561542457
"(3,)",logistic,100,400,0.0001,-0.15052338877631835,891,-0.1500821759110942
"(3,)",logistic,100,800,0.0001,-0.14784228180945178,610,-0.14447838005153
"(5,)",logistic,100,200,0.0001,-0.1510159495253361,959,-0.15147908004686966
"(5,)",logistic,100,400,0.0001,-0.1503444628522682,872,-0.14843086021088572
"(5,)",logistic,100,800,0.0001,-0.14714220385865592,531,-0.14582490361768602
"(7,)",logistic,100,200,0.0001,-0.1539059386498434,1018,-0.15320225453958997
"(7,)",logistic,100,400,0.0001,-0.1478077344946768,608,-0.14555964077347622
"(7,)",logistic,100,800,0.0001,-0.1463758993121219,377,-0.14513021618267835
"(9,)",logistic,100,200,0.0001,-0.15104434101217606,961,-0.15117100779670714
"(9,)",logistic,100,400,0.0001,-0.14758003697109942,586,-0.14623127650505396
"(9,)",logistic,100,800,0.0001,-0.14657019171147775,420,-0.14561262542097625
"(11,)",logistic,100,200,0.0001,-0.1509599643614837,945,-0.1495582052809919
"(11,)",logistic,100,400,0.0001,-0.14639170387963052,379,-0.14566844284302166
"(11,)",logistic,100,800,0.0001,-0.1465861836300505,422,-0.14558794314717677
"(13,)",logistic,100,200,0.0001,-0.15073998419996498,916,-0.1491143927533777
"(13,)",logistic,100,400,0.0001,-0.14661576952955682,433,-0.1462575877270757
"(13,)",logistic,100,800,0.0001,-0.14572823348804362,273,-0.14491303311367174
"(15,)",logistic,100,200,0.0001,-0.15105435542577852,966,-0.14982014981778619
