param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,mean_test_score,rank_test_score,mean_train_score
"(1,)",tanh,50,200,-0.17434705754098495,337,-0.17421974087163813
"(1,)",tanh,50,400,-0.17434705754098495,337,-0.17421974087163813
"(1,)",tanh,50,800,-0.17434705754098495,337,-0.17421974087163813
"(3,)",tanh,50,200,-0.16201508689246574,277,-0.16185002017676112
"(3,)",tanh,50,400,-0.16201508689246574,277,-0.16185002017676112
"(3,)",tanh,50,800,-0.16201508689246574,277,-0.16185002017676112
"(5,)",tanh,50,200,-0.14618487280103545,151,-0.14477290921609678
"(5,)",tanh,50,400,-0.14618487280103545,151,-0.14477290921609678
"(5,)",tanh,50,800,-0.14618487280103545,151,-0.14477290921609678
"(7,)",tanh,50,200,-0.14133157915376757,112,-0.1398788539720217
"(7,)",tanh,50,400,-0.14133157915376757,112,-0.1398788539720217
"(7,)",tanh,50,800,-0.14133157915376757,112,-0.1398788539720217
"(9,)",tanh,50,200,-0.15538180473253238,217,-0.1535423017461028
"(9,)",tanh,50,400,-0.15538180473253238,217,-0.1535423017461028
"(9,)",tanh,50,800,-0.15538180473253238,217,-0.1535423017461028
"(11,)",tanh,50,200,-0.13315441032469885,1,-0.13152737890243774
"(11,)",tanh,50,400,-0.13315441032469885,1,-0.13152737890243774
"(11,)",tanh,50,800,-0.13315441032469885,1,-0.13152737890243774
"(13,)",tanh,50,200,-0.13761695588604692,67,-0.13561467794162452
"(13,)",tanh,50,400,-0.13761695588604692,67,-0.13561467794162452
"(13,)",tanh,50,800,-0.13761695588604692,67,-0.13561467794162452
"(15,)",tanh,50,200,-0.138227718105027,73,-0.13658409990888312
"(15,)",tanh,50,400,-0.138227718105027,73,-0.13658409990888312
"(15,)",tanh,50,800,-0.138227718105027,73,-0.13658409990888312
"(17,)",tanh,50,200,-0.13740136727327829,61,-0.13567832560817528
"(17,)",tanh,50,400,-0.13740136727327829,61,-0.13567832560817528
"(17,)",tanh,50,800,-0.13740136727327829,61,-0.13567832560817528
"(19,)",tanh,50,200,-0.13853562604227151,76,-0.13678953966827934
"(19,)",tanh,50,400,-0.13853562604227151,76,-0.13678953966827934
"(19,)",tanh,50,800,-0.13853562604227151,76,-0.13678953966827934
"(21,)",tanh,50,200,-0.1350736645506264,25,-0.13306570016515656
"(21,)",tanh,50,400,-0.1350736645506264,25,-0.13306570016515656
"(21,)",tanh,50,800,-0.1350736645506264,25,-0.13306570016515656
"(1,)",tanh,100,200,-0.17610907861425956,355,-0.17598934141525902
"(1,)",tanh,100,400,-0.17610907861425956,355,-0.17598934141525902
"(1,)",tanh,100,800,-0.17610907861425956,355,-0.17598934141525902
"(3,)",tanh,100,200,-0.16365739568307183,301,-0.1635356565558951
"(3,)",tanh,100,400,-0.16365739568307183,301,-0.1635356565558951
"(3,)",tanh,100,800,-0.16365739568307183,301,-0.1635356565558951
"(5,)",tanh,100,200,-0.1679953254409819,322,-0.16777950508043993
"(5,)",tanh,100,400,-0.1679953254409819,322,-0.16777950508043993
"(5,)",tanh,100,800,-0.1679953254409819,322,-0.16777950508043993
"(7,)",tanh,100,200,-0.15541557970254466,220,-0.15433481954115685
"(7,)",tanh,100,400,-0.15541557970254466,220,-0.15433481954115685
"(7,)",tanh,100,800,-0.15541557970254466,220,-0.15433481954115685
"(9,)",tanh,100,200,-0.17097494313701675,331,-0.1688972735297245
"(9,)",tanh,100,400,-0.17097494313701675,331,-0.1688972735297245
"(9,)",tanh,100,800,-0.17097494313701675,331,-0.1688972735297245
"(11,)",tanh,100,200,-0.1339124133732914,4,-0.1323615908518101
"(11,)",tanh,100,400,-0.1339124133732914,4,-0.1323615908518101
"(11,)",tanh,100,800,-0.1339124133732914,4,-0.1323615908518101
