param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,mean_test_score,rank_test_score,mean_train_score
"(11,)",tanh,50,400,-0.8056541962088154,99,-0.685503031509663
"(11,)",tanh,50,800,-0.8072659716680215,110,-0.6817543642558014
"(13,)",tanh,50,200,-0.7934914077362802,41,-0.7080615464526836
"(13,)",tanh,50,400,-0.8078174819084017,113,-0.6875128670630918
"(13,)",tanh,50,800,-0.811151065459557,151,-0.6846193735070925
"(15,)",tanh,50,200,-0.8055202370040717,96,-0.6997713899954374
"(15,)",tanh,50,400,-0.818838618788314,295,-0.6603107534880523
"(15,)",tanh,50,800,-0.8246101941438742,364,-0.6514808939843546
"(17,)",tanh,50,200,-0.7945089132090135,48,-0.6921785632649579
"(17,)",tanh,50,400,-0.8206028638125933,326,-0.6545126116138571
"(17,)",tanh,50,800,-0.8337909621831724,382,-0.6417895759719281
"(19,)",tanh,50,200,-0.8184731668828406,290,-0.6906418937197893
"(19,)",tanh,50,400,-0.8472282977677492,390,-0.6463276137922017
"(19,)",tanh,50,800,-0.8644619180647177,396,-0.623781194236616
"(21,)",tanh,50,200,-0.8030361835354946,84,-0.6899819499314901
"(21,)",tanh,50,400,-0.8315712623333645,378,-0.6441231641022642
"(21,)",tanh,50,800,-0.8613912074457696,395,-0.6146726510314217
"(1,)",tanh,100,200,-0.8382248546765453,386,-0.8195451970391339
"(1,)",tanh,100,400,-0.822464155378732,343,-0.8029614460465421
"(1,)",tanh,100,800,-0.822464155378732,343,-0.8029614460465421
"(3,)",tanh,100,200,-0.8195791527312257,299,-0.7854972768598442
"(3,)",tanh,100,400,-0.8129066579578919,185,-0.7698194923338628
"(3,)",tanh,100,800,-0.8124087525752172,172,-0.7695934825104769
"(5,)",tanh,100,200,-0.7935778687783378,43,-0.760666073582144
"(5,)",tanh,100,400,-0.7921768318802654,38,-0.7356293099196094
"(5,)",tanh,100,800,-0.7935367630994811,42,-0.733867917703576
"(7,)",tanh,100,200,-0.8045568323221532,92,-0.7587604507324723
"(7,)",tanh,100,400,-0.7999431077807959,73,-0.7368644860728792
"(7,)",tanh,100,800,-0.8076636200769602,111,-0.7253129257128825
